match_id,toss_winner,toss_name,match_winner,match_outcome
1082636,Kolkata Knight Riders,Field,Kolkata Knight Riders,Won
1082637,Gujarat Lions,Field,Gujarat Lions,Won
1082638,Mumbai Indians,Bat,Sunrisers Hyderabad,Lost
1082639,Kolkata Knight Riders,Field,Kings XI Punjab,Lost
1082640,Delhi Daredevils,Field,Delhi Daredevils,Won
1082641,Mumbai Indians,Field,Kings XI Punjab,Lost
1082642,Delhi Daredevils,Bat,Delhi Daredevils,Won
1082643,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,Won
1082644,Kolkata Knight Riders,Field,Mumbai Indians,Lost
1082645,Rising Pune Supergiants,Field,Rising Pune Supergiants,Won
1082646,Royal Challengers Bangalore,Bat,Royal Challengers Bangalore,Won
1082647,Mumbai Indians,Field,Rising Pune Supergiants,Lost
1082648,Kolkata Knight Riders,Field,Kolkata Knight Riders,Won
1082649,Mumbai Indians,Field,Mumbai Indians,Won
1082650,Mumbai Indians,Bat,Mumbai Indians,Won
